participant_id	session	run	corr_mean	qc
005_S_6084_I915206.nii.gz	V1	1	1.3785188	1
sub-OAS31104_ses-d1321.nii.gz	V1	1	1.3789468	1
005_S_0610_I906097.nii.gz	V1	1	1.3789784	1
PT030_OpenNeuro_ds001796_sub-40.nii.gz	V1	1	1.3794851	1
PT007_ATAG_sub-49.nii.gz	V1	1	1.3795091	1
sub-296950225202.nii.gz	V1	1	1.3805386	1
PT030_OpenNeuro_ds005216_sub-39.nii.gz	V1	1	1.3807566	1
021_S_0337_I1442100.nii.gz	V1	1	1.380864	1
PT030_OpenNeuro_ds005733_sub-17.nii.gz	V1	1	1.3809634	1
sub-OAS30154_ses-d0244.nii.gz	V1	1	1.3818902	1
sub-171162169563.nii.gz	V1	1	1.3821197	1
PT030_OpenNeuro_ds004958_sub-13.nii.gz	V1	1	1.3826782	1
PT030_OpenNeuro_ds005216_sub-74.nii.gz	V1	1	1.3840791	1
PT030_OpenNeuro_ds006040_sub-14.nii.gz	V1	1	1.3842115	1
PT030_OpenNeuro_ds005874_sub-04.nii.gz	V1	1	1.3843004	1
sub-581074279240.nii.gz	V1	1	1.3843359	1
PT007_ATAG_sub-51.nii.gz	V1	1	1.3852707	1
PT030_OpenNeuro_ds004470_sub-20.nii.gz	V1	1	1.3862811	1
PT030_OpenNeuro_ds003592_sub-257.nii.gz	V1	1	1.3883926	1
PT030_OpenNeuro_ds006067_sub-049.nii.gz	V1	1	1.3884103	1
PT030_OpenNeuro_ds001796_sub-36.nii.gz	V1	1	1.3885784	1
PT030_OpenNeuro_ds005366_sub-152.nii.gz	V1	1	1.3887556	1
PT030_OpenNeuro_ds006211_sub-09.nii.gz	V1	1	1.3893207	1
sub-477906303107.nii.gz	V1	1	1.3899932	1
PT030_OpenNeuro_ds001796_sub-59.nii.gz	V1	1	1.3901057	1
PT030_OpenNeuro_ds003592_sub-264.nii.gz	V1	1	1.3903707	1
029_S_4290_I1149150.nii.gz	V1	1	1.3908204	1
PT030_OpenNeuro_ds006005_sub-10.nii.gz	V1	1	1.3910487	1
099_S_6016_I1484260.nii.gz	V1	1	1.3919053	1
PT030_OpenNeuro_ds004798_sub-13.nii.gz	V1	1	1.3926353	1
PT007_ATAG_sub-48.nii.gz	V1	1	1.3929744	1
PT030_OpenNeuro_ds003592_sub-273.nii.gz	V1	1	1.3929821	1
PT030_OpenNeuro_ds006067_sub-003.nii.gz	V1	1	1.3932074	1
099_S_4076_I1528478.nii.gz	V1	1	1.3932332	1
PT030_OpenNeuro_ds004440_sub-03.nii.gz	V1	1	1.393753	1
PT030_OpenNeuro_ds005216_sub-68.nii.gz	V1	1	1.3946385	1
PT030_OpenNeuro_ds006105_sub-28.nii.gz	V1	1	1.3952175	1
126_S_0680_I1053608.nii.gz	V1	1	1.3952396	1
PT030_OpenNeuro_ds004470_sub-04.nii.gz	V1	1	1.39532	1
PT030_OpenNeuro_ds005752_sub-154.nii.gz	V1	1	1.3957534	1
sub-854248757945.nii.gz	V1	1	1.3961682	1
PT007_ATAG_sub-45.nii.gz	V1	1	1.3964198	1
PT030_OpenNeuro_ds005216_sub-22.nii.gz	V1	1	1.3968023	1
PT030_OpenNeuro_ds005216_sub-29.nii.gz	V1	1	1.3968573	1
PT030_OpenNeuro_ds005216_sub-59.nii.gz	V1	1	1.3970517	1
PT030_OpenNeuro_ds005747_sub-43.nii.gz	V1	1	1.3973624	1
JUK_sub-40.nii.gz	V1	1	1.3975292	1
PT030_OpenNeuro_ds005733_sub-31.nii.gz	V1	1	1.3978766	1
sub-OAS30806_ses-d0026_run-02.nii.gz	V1	1	1.3985224	1
PT030_OpenNeuro_ds003592_sub-037.nii.gz	V1	1	1.3987441	1
PT030_OpenNeuro_ds005216_sub-76.nii.gz	V1	1	1.4001828	1
sub-710653466581.nii.gz	V1	1	1.400989	1
PT030_OpenNeuro_ds005752_sub-006.nii.gz	V1	1	1.4014456	1
PT030_OpenNeuro_ds005874_sub-34.nii.gz	V1	1	1.4014744	1
PT030_OpenNeuro_ds004470_sub-26.nii.gz	V1	1	1.401566	1
PT030_OpenNeuro_ds003592_sub-258.nii.gz	V1	1	1.4019734	1
PT030_OpenNeuro_ds005366_sub-125.nii.gz	V1	1	1.4022986	1
123_S_0106_I865961.nii.gz	V1	1	1.4025875	1
sub-287677435094.nii.gz	V1	1	1.4031223	1
PT030_OpenNeuro_ds005366_sub-129.nii.gz	V1	1	1.4036121	1
PT007_ATAG_sub-47.nii.gz	V1	1	1.4039866	1
sub-248621586039.nii.gz	V1	1	1.4040513	1
PT030_OpenNeuro_ds005216_sub-37.nii.gz	V1	1	1.4041597	1
PT030_OpenNeuro_ds005366_sub-126.nii.gz	V1	1	1.4042784	1
027_S_6516_I1386736.nii.gz	V1	1	1.404785	1
PT007_ATAG_sub-39.nii.gz	V1	1	1.4049988	1
sub-558802533319.nii.gz	V1	1	1.4052767	1
sub-910257374237.nii.gz	V1	1	1.4052873	1
PT030_OpenNeuro_ds005551_sub-07.nii.gz	V1	1	1.4060003	1
sub-391454746388.nii.gz	V1	1	1.4062679	1
sub-702874441281.nii.gz	V1	1	1.4066966	1
sub-OAS30707_ses-d0453_run-02.nii.gz	V1	1	1.4074229	1
PT030_OpenNeuro_ds003972_sub-07.nii.gz	V1	1	1.4081205	1
sub-872219746706.nii.gz	V1	1	1.4081972	1
099_S_4076_I1528479.nii.gz	V1	1	1.4085165	1
PT030_OpenNeuro_ds004934_sub-44.nii.gz	V1	1	1.4087076	1
PT030_OpenNeuro_ds005874_sub-42.nii.gz	V1	1	1.409066	1
126_S_0680_I1492716.nii.gz	V1	1	1.4092538	1
PT030_OpenNeuro_ds003709_sub-02.nii.gz	V1	1	1.4095275	1
sub-869287444915.nii.gz	V1	1	1.4105428	1
PT030_OpenNeuro_ds005366_sub-130.nii.gz	V1	1	1.4105583	1
sub-659455743211.nii.gz	V1	1	1.4108535	1
PT030_OpenNeuro_ds005874_sub-24.nii.gz	V1	1	1.4109867	1
PT030_OpenNeuro_ds003592_sub-113.nii.gz	V1	1	1.4111338	1
135_S_6411_I1453160.nii.gz	V1	1	1.4117447	1
135_S_6411_I1591979.nii.gz	V1	1	1.4122988	1
PT030_OpenNeuro_ds005747_sub-40.nii.gz	V1	1	1.4127481	1
sub-241908248399.nii.gz	V1	1	1.4130677	1
PT030_OpenNeuro_ds002837_sub-27.nii.gz	V1	1	1.4131545	1
PT030_OpenNeuro_ds005752_sub-017.nii.gz	V1	1	1.4132459	1
PT030_OpenNeuro_ds005752_sub-191.nii.gz	V1	1	1.4135358	1
PT030_OpenNeuro_ds004440_sub-49.nii.gz	V1	1	1.4135909	1
sub-OAS30344_ses-d0049_run-01.nii.gz	V1	1	1.413829	1
128_S_0272_I1001504.nii.gz	V1	1	1.4140009	1
PT030_OpenNeuro_ds003709_sub-47.nii.gz	V1	1	1.4140574	1
CP0015.nii.gz	V1	1	1.4142683	1
021_S_7062_I1561600.nii.gz	V1	1	1.4145958	1
PT030_OpenNeuro_ds003592_sub-110.nii.gz	V1	1	1.4147912	1
PT030_OpenNeuro_ds005216_sub-57.nii.gz	V1	1	1.4148618	1
094_S_6417_I1013527.nii.gz	V1	1	1.4150184	1
027_S_7024_I1512668.nii.gz	V1	1	1.4151943	1
PT030_OpenNeuro_ds003972_sub-04.nii.gz	V1	1	1.4158876	1
PT030_OpenNeuro_ds004928_sub-09.nii.gz	V1	1	1.4159877	1
sub-205481948499.nii.gz	V1	1	1.4160751	1
sub-215886595624.nii.gz	V1	1	1.4163524	1
PT030_OpenNeuro_ds003592_sub-274.nii.gz	V1	1	1.4166932	1
sub-992558653026.nii.gz	V1	1	1.4169376	1
129_S_4369_I1453028.nii.gz	V1	1	1.4171954	1
027_S_6582_I1425535.nii.gz	V1	1	1.4173859	1
PT030_OpenNeuro_ds005752_sub-201.nii.gz	V1	1	1.4174451	1
sub-OAS30480_ses-d0161_run-02.nii.gz	V1	1	1.4174619	1
sub-224217740103.nii.gz	V1	1	1.4174973	1
127_S_6168_I1551068.nii.gz	V1	1	1.4176897	1
037_S_4071_I833977.nii.gz	V1	1	1.4180051	1
sub-309267670588.nii.gz	V1	1	1.4184391	1
PT030_OpenNeuro_ds006092_sub-44.nii.gz	V1	1	1.4185188	1
sub-885298009427.nii.gz	V1	1	1.4186687	1
PT030_OpenNeuro_ds003592_sub-262.nii.gz	V1	1	1.418937	1
PT030_OpenNeuro_ds003972_sub-01.nii.gz	V1	1	1.4189464	1
099_S_6038_I1519946.nii.gz	V1	1	1.4191523	1
PT030_OpenNeuro_ds004798_sub-12.nii.gz	V1	1	1.4192567	1
PT030_OpenNeuro_ds005405_sub-084.nii.gz	V1	1	1.4192613	1
sub-557315657627.nii.gz	V1	1	1.4196198	1
PT030_OpenNeuro_ds003709_sub-04.nii.gz	V1	1	1.4198818	1
PT030_OpenNeuro_ds004470_sub-32.nii.gz	V1	1	1.4199765	1
PT030_OpenNeuro_ds004470_sub-29.nii.gz	V1	1	1.420114	1
PT030_OpenNeuro_ds004928_sub-10.nii.gz	V1	1	1.4201463	1
PT030_OpenNeuro_ds003709_sub-42.nii.gz	V1	1	1.4201603	1
PT030_OpenNeuro_ds004056_sub-29.nii.gz	V1	1	1.4205862	1
PT030_OpenNeuro_ds005405_sub-031.nii.gz	V1	1	1.4206016	1
009_S_6163_I963779.nii.gz	V1	1	1.4209615	1
PT030_OpenNeuro_ds006211_sub-11.nii.gz	V1	1	1.4212067	1
PT030_OpenNeuro_ds003709_sub-48.nii.gz	V1	1	1.4212885	1
941_S_6495_I1021968.nii.gz	V1	1	1.4213271	1
sub-960513601275.nii.gz	V1	1	1.4213641	1
127_S_4148_I1185628.nii.gz	V1	1	1.4216641	1
PT030_OpenNeuro_ds005733_sub-10.nii.gz	V1	1	1.4219992	1
PT030_OpenNeuro_ds005551_sub-10.nii.gz	V1	1	1.4222193	1
PT030_OpenNeuro_ds002837_sub-54.nii.gz	V1	1	1.4225479	1
sub-171290254658.nii.gz	V1	1	1.4228091	1
PT030_OpenNeuro_ds005752_sub-078.nii.gz	V1	1	1.4229752	1
005_S_0610_I906096.nii.gz	V1	1	1.4231606	1
PT030_OpenNeuro_ds005405_sub-096.nii.gz	V1	1	1.4231769	1
PT030_OpenNeuro_ds003592_sub-124.nii.gz	V1	1	1.4232436	1
099_S_6016_I1212969.nii.gz	V1	1	1.4233241	1
PT030_OpenNeuro_ds005874_sub-55.nii.gz	V1	1	1.4235351	1
PT030_OpenNeuro_ds005747_sub-45.nii.gz	V1	1	1.4240782	1
sub-876413804784.nii.gz	V1	1	1.4243525	1
PT030_OpenNeuro_ds003709_sub-37.nii.gz	V1	1	1.4244958	1
PT030_OpenNeuro_ds005874_sub-43.nii.gz	V1	1	1.424725	1
sub-270347217232.nii.gz	V1	1	1.4252144	1
PT030_OpenNeuro_ds005366_sub-139.nii.gz	V1	1	1.4253304	1
099_S_4076_I1253769.nii.gz	V1	1	1.4254938	1
sub-274268361591.nii.gz	V1	1	1.4260995	1
PT030_OpenNeuro_ds005752_sub-234.nii.gz	V1	1	1.4262663	1
129_S_6228_I1299200.nii.gz	V1	1	1.4263449	1
PT030_OpenNeuro_ds004470_sub-14.nii.gz	V1	1	1.426421	1
099_S_6016_I859714.nii.gz	V1	1	1.4267446	1
PT030_OpenNeuro_ds005366_sub-154.nii.gz	V1	1	1.4267503	1
sub-544715833793.nii.gz	V1	1	1.4269619	1
sub-OAS30180_ses-d0051_run-01.nii.gz	V1	1	1.4271755	1
PT030_OpenNeuro_ds005747_sub-89.nii.gz	V1	1	1.4273365	1
PT030_OpenNeuro_ds005874_sub-07.nii.gz	V1	1	1.4273856	1
PT030_OpenNeuro_ds003592_sub-259.nii.gz	V1	1	1.4274962	1
PT030_OpenNeuro_ds005747_sub-22.nii.gz	V1	1	1.4276261	1
PT030_OpenNeuro_ds003340_sub-10.nii.gz	V1	1	1.4278494	1
PT007_ATAG_sub-52.nii.gz	V1	1	1.4279029	1
PT030_OpenNeuro_ds004470_sub-10.nii.gz	V1	1	1.4281447	1
PT030_OpenNeuro_ds003701_sub-73.nii.gz	V1	1	1.4284198	1
099_S_6038_I1071981.nii.gz	V1	1	1.4285859	1
PT030_OpenNeuro_ds005733_sub-01.nii.gz	V1	1	1.4287655	1
sub-OAS30352_ses-d0099.nii.gz	V1	1	1.4288341	1
PT030_OpenNeuro_ds005747_sub-36.nii.gz	V1	1	1.4290278	1
PT030_OpenNeuro_ds005874_sub-56.nii.gz	V1	1	1.4290308	1
sub-464503842359.nii.gz	V1	1	1.4291345	1
sub-OAS31339_sess-d0189_run-02.nii.gz	V1	1	1.4292454	1
099_S_6025_I1507743.nii.gz	V1	1	1.4293009	1
sub-321009379265.nii.gz	V1	1	1.4294419	1
PT030_OpenNeuro_ds005752_sub-218.nii.gz	V1	1	1.4295286	1
sub-868866368860.nii.gz	V1	1	1.4296138	1
sub-888374824441.nii.gz	V1	1	1.4296955	1
sub-523506326057.nii.gz	V1	1	1.429996	1
PT030_OpenNeuro_ds005752_sub-220.nii.gz	V1	1	1.4302573	1
PT030_OpenNeuro_ds005733_sub-16.nii.gz	V1	1	1.4303616	1
PT030_OpenNeuro_ds005747_sub-70.nii.gz	V1	1	1.4305345	1
PT030_OpenNeuro_ds001378_sub-12.nii.gz	V1	1	1.4306314	1
sub-OAS30762_ses-d0043.nii.gz	V1	1	1.4307021	1
PT030_OpenNeuro_ds006067_sub-019.nii.gz	V1	1	1.4308649	1
033_S_0734_I1058029.nii.gz	V1	1	1.4308888	1
sub-627005612106.nii.gz	V1	1	1.4309903	1
037_S_4071_I833978.nii.gz	V1	1	1.4311188	1
PT030_OpenNeuro_ds005747_sub-41.nii.gz	V1	1	1.4312339	1
PT030_OpenNeuro_ds003592_sub-126.nii.gz	V1	1	1.4312841	1
PT030_OpenNeuro_ds003592_sub-002.nii.gz	V1	1	1.4313682	1
PT030_OpenNeuro_ds004091_sub-01.nii.gz	V1	1	1.4313749	1
PT030_OpenNeuro_ds005747_sub-77.nii.gz	V1	1	1.4314233	1
PT007_ATAG_sub-32.nii.gz	V1	1	1.4314291	1
PT030_OpenNeuro_ds005216_sub-55.nii.gz	V1	1	1.431519	1
PT030_OpenNeuro_ds003592_sub-123.nii.gz	V1	1	1.4319123	1
PT030_OpenNeuro_ds003709_sub-51.nii.gz	V1	1	1.4319415	1
PT030_OpenNeuro_ds004934_sub-35.nii.gz	V1	1	1.4320244	1
PT030_OpenNeuro_ds004302_sub-07.nii.gz	V1	1	1.432151	1
099_S_6038_I905866.nii.gz	V1	1	1.432172	1
PT030_OpenNeuro_ds005752_sub-243.nii.gz	V1	1	1.4322478	1
sub-576627281914.nii.gz	V1	1	1.4323009	1
PT030_OpenNeuro_ds005216_sub-02.nii.gz	V1	1	1.4323806	1
sub-OAS30760_ses-d3837_run-01.nii.gz	V1	1	1.4327152	1
sub-623833254305.nii.gz	V1	1	1.432816	1
sub-OAS30806_ses-d0026_run-01.nii.gz	V1	1	1.4328704	1
PT030_OpenNeuro_ds002776_sub-17.nii.gz	V1	1	1.4329145	1
PT030_OpenNeuro_ds005216_sub-49.nii.gz	V1	1	1.4330401	1
PT030_OpenNeuro_ds001796_sub-10.nii.gz	V1	1	1.433063	1
033_S_0734_I919238.nii.gz	V1	1	1.4332277	1
PT017_HBN-SSI_sub-09.nii.gz	V1	1	1.4332684	1
PT007_ATAG_sub-53.nii.gz	V1	1	1.4332918	1
PT030_OpenNeuro_ds005747_sub-13.nii.gz	V1	1	1.4333166	1
PT030_OpenNeuro_ds005216_sub-30.nii.gz	V1	1	1.4336038	1
129_S_6621_I1069951.nii.gz	V1	1	1.4337347	1
PT030_OpenNeuro_ds004798_sub-06.nii.gz	V1	1	1.4337494	1
021_S_4254_I836646.nii.gz	V1	1	1.4343483	1
PT030_OpenNeuro_ds005874_sub-28.nii.gz	V1	1	1.4349245	1
PT030_OpenNeuro_ds003592_sub-125.nii.gz	V1	1	1.4350703	1
127_S_0259_I907414.nii.gz	V1	1	1.4351174	1
sub-154460108156.nii.gz	V1	1	1.4352052	1
sub-130488967679.nii.gz	V1	1	1.4352108	1
PT030_OpenNeuro_ds005371_sub-05.nii.gz	V1	1	1.4352506	1
PT030_OpenNeuro_ds006092_sub-38.nii.gz	V1	1	1.4352747	1
PT030_OpenNeuro_ds005752_sub-141.nii.gz	V1	1	1.4353005	1
PT030_OpenNeuro_ds006334_sub-07.nii.gz	V1	1	1.4353089	1
sub-OAS30379_ses-d2106_run-02.nii.gz	V1	1	1.4353896	1
